index,x,y,z
12316,-7.66134,-81.3516,1.42628,
12326,-7.85817,-80.2881,1.40813,
11667,11.871,-84.8964,4.49252,
15580,-40.9844,-35.004,2.82468,
15000,-33.3028,-37.0905,2.6124,
13958,-19.495,-35.5789,0.708149,
14193,-20.4283,-33.0504,0.678201,
14224,-20.6649,-32.9171,0.67841,
13761,-17.0372,-35.009,2.04047,
15060,-25.9072,-28.0753,0.666822,
14346,-20.698,-31.0236,0.650975,
14837,-20.9443,-25.1292,-0.571008,
14209,-18.2068,-29.2278,0.601061,
14995,-19.7475,-22.0787,-0.517045,
14840,-17.9681,-21.4896,0.488947,
14812,-17.0055,-20.6073,2.33752,
14874,-16.9942,-20.0248,1.37644,
15160,-16.877,-17.501,3.85079,
15236,-16.9791,-17.0206,2.95192,
12381,-7.6444,-66.1697,1.16268,
12035,0.47856,-72.1554,3.78159,
12020,0.959975,-71.4275,3.7437,
12711,-11.9308,-58.3292,1.03922,
12240,-3.91661,-57.3036,-1.00257,
11948,3.17254,-70.9578,6.2142,
11647,7.46288,-50.9074,4.50142,
11464,9.6595,-49.9732,2.66746,
11373,10.3702,-47.5224,5.97233,
12973,-11.5289,-42.4627,3.84949,
12988,-11.5998,-42.1417,3.82405,
12883,-10.9637,-44.0056,3.96768,
12583,-7.04314,-40.7754,2.16859,
12906,-9.06803,-35.6533,-0.642144,
12814,-9.00414,-39.0012,3.50192,
12804,-8.16504,-35.8516,5.82374,
12673,-7.03166,-36.1074,4.51672,
12969,-9.02875,-33.3233,0.602632,
13062,-9.73493,-32.9279,-0.599351,
13155,-10.0085,-31.1728,4.01998,
13199,-10.4823,-31.5109,4.0775,
12394,-5.01108,-41.9619,2.21475,
12321,-3.92735,-41.3161,5.09584,
12396,-4.83226,-40.4046,3.56014,
12000,0.896659,-40.1299,-0.700644,
12675,-6.08324,-31.2083,5.03594,
12734,-6.54268,-31.2363,5.05471,
12632,-5.74221,-31.1643,6.1597,
12491,-4.97372,-33.6008,4.17061,
13690,-13.9726,-30.019,2.89688,
13047,-8.9891,-30.8002,-0.560048,
13235,-9.57147,-28.0678,5.76434,
12918,-7.90945,-30.694,6.16122,
12901,-7.39048,-29.1427,4.76187,
12903,-7.44098,-29.3204,5.87997,
12933,-7.60243,-29.0821,5.84295,
13408,-10.1235,-26.0594,5.43424,
13513,-9.99923,-24.0216,4.12111,
11862,2.92796,-37.454,-0.655757,
11872,2.79065,-37.3763,-0.654221,
11881,2.63987,-37.1005,-0.64923,
11891,2.50846,-37.0816,-0.648741,
11901,2.38234,-37.142,-0.649648,
11909,2.27991,-37.5992,-0.657502,
11834,3.02348,-34.0789,-0.597186,
11468,7.51837,-39.0057,4.87745,
10716,16.5097,-41.1938,-2.32581,
11395,9.0666,-42.8757,2.29671,
11359,9.31586,-41.9173,3.75676,
11371,9.17459,-41.9729,3.75885,
11232,9.49273,-37.2687,6.09125,
11776,3.30899,-31.0142,6.06277,
11778,2.68072,-25.209,5.85278,
11696,3.15161,-23.9712,4.69963,
11768,2.40688,-21.9417,5.91453,
11650,3.14477,-21.5303,3.44625,
11756,1.93101,-17.0808,4.60594,
11854,1.35941,-16.6416,4.47395,
11639,2.25444,-15.1029,2.96822,
11570,3.09041,-18.4478,2.96256,
11441,3.4852,-17.4576,2.81957,
11576,3.11199,-18.6766,5.07337,
11429,3.37785,-16.6027,2.68348,
11194,4.08148,-15.3717,3.09149,
11206,4.02133,-15.3612,3.08653,
11219,4.01674,-15.5652,3.12469,
11157,5.01149,-18.1446,5.04387,
10693,6.57708,-16.0926,4.01358,
12238,-5.00955,-73.8627,14.3904,
12400,-7.38524,-61.4782,9.80719,
12202,-3.12874,-55.0988,6.77618,
12093,-0.814571,-54.9036,6.74206,
12873,-11.0683,-44.9605,7.33365,
13606,-14.0138,-31.7286,8.00781,
13146,-9.99737,-31.4205,7.61234,
13681,-13.9956,-30.2753,6.48331,
13699,-13.9765,-29.9046,8.84488,
12822,-7.15682,-30.8277,7.30641,
18607,-35.0579,-0.00611876,1.83731,
18695,-31.3987,0.641261,0.54818,
19580,-36.0378,8.54555,1.94104,
20316,-31.1373,14.046,0.596244,
17785,-27.4224,-5.32044,0.487585,
17813,-27.3468,-5.10794,0.485596,
17854,-27.7494,-4.88297,0.491809,
17742,-23.1808,-4.74989,0.413029,
17772,-23.2153,-4.58834,0.413064,
17799,-23.2527,-4.42727,0.413168,
17827,-23.2929,-4.26663,0.413343,
17841,-23.2879,-4.18177,0.412994,
17867,-23.3205,-4.01976,0.413064,
17881,-23.3462,-3.94033,0.413273,
17895,-23.3578,-3.85849,0.413238,
17908,-23.4422,-3.78842,0.414495,
17919,-23.021,-3.675,-0.40692,
17922,-23.4593,-3.70719,0.414564,
17932,-23.0257,-3.59338,-0.406781,
17935,-23.4839,-3.62711,0.414774,
17993,-23.5679,-3.30387,0.415402,
18009,-23.6005,-3.22868,0.415786,
18025,-23.5938,-3.1439,0.415472,
18149,-24.6887,-2.59053,0.433308,
18222,-24.7676,-2.16688,0.433972,
18237,-24.775,-2.08042,0.433972,
18253,-24.7961,-1.99505,0.434216,
18268,-24.8029,-1.90848,0.434216,
18284,-24.8333,-1.82365,0.434635,
18041,-23.6081,-3.06616,0.415542,
18057,-23.6623,-2.98924,0.41631,
18072,-23.7187,-2.90809,0.417112,
18088,-23.7367,-2.82623,0.417252,
18103,-23.7484,-2.74358,0.417287,
18118,-23.7002,-2.65422,0.416275,
18134,-23.6238,-2.5622,0.414774,
18175,-23.5681,-2.3441,-0.413413,
18190,-23.5861,-2.26277,-0.413587,
18205,-23.6074,-2.18584,-0.413831,
18250,-23.6709,-1.94194,-0.414564,
18327,-23.7351,-1.53072,-0.415158,
18406,-23.9635,-1.09237,0.418718,
18378,-23.8649,-1.24235,1.2524,
18393,-23.8808,-1.16379,1.25303,
18479,-24.3875,-0.723805,-0.425874,
18511,-24.3739,-0.557378,-0.425559,
18527,-24.3757,-0.472294,-0.425559,
15849,-17.2796,-12.9315,5.78305,
15844,-16.2861,-12.2057,3.22349,
16419,-17.9917,-10.0924,2.53293,
17091,-18.9823,-7.03685,1.77118,
17460,-18.9694,-5.19655,2.41496,
17476,-18.9893,-5.13083,2.41521,
17632,-18.9796,-4.39922,5.22038,
18020,-18.4783,-2.49836,-0.977217,
18188,-18.6023,-1.7912,-0.979415,
18300,-17.9794,-1.25724,0.314597,
18330,-17.7302,-1.11549,0.310094,
18343,-17.926,-1.09326,-0.31348,
18705,-18.7138,0.411604,-0.980985,
18346,-17.8199,-1.05869,0.311595,
18361,-17.8374,-0.997267,0.31184,
18376,-17.9187,-0.939078,0.313201,
18391,-17.8859,-0.874766,0.312573,
18203,-16.0408,-1.49088,-0.844284,
17988,-15.5047,-2.20388,-0.820732,
18004,-15.4272,-2.13795,-0.816232,
18036,-15.875,-2.08999,-0.839155,
17906,-15.0762,-2.46071,-0.266638,
17946,-15.5261,-2.36751,-0.274142,
17949,-15.5081,-2.33984,0.273758,
17963,-15.4885,-2.28161,0.27327,
