index,x,y,z
15268,-33.8725,-33.1588,2.48418,
15281,-33.6653,-32.7495,0.819809,
16688,-32.2248,-15.4949,0.624133,
13456,-15.8461,-39.1417,0.737085,
13937,-20.8489,-38.1603,2.27892,
14325,-22.0099,-33.09,2.08276,
13726,-16.9997,-35.4175,0.68574,
13516,-16.0378,-38.0781,0.721203,
13953,-18.3809,-33.3795,1.99704,
15149,-29.0369,-30.0686,3.65705,
15385,-23.9251,-22.1548,2.85278,
14818,-22.9515,-27.5668,0.626123,
14831,-20.9383,-25.0508,-0.569891,
13905,-16.1051,-30.0989,-0.59586,
13948,-16.1604,-29.4686,-0.586645,
14142,-15.8316,-26.0999,1.59981,
15113,-19.9955,-21.0782,-0.507132,
15743,-20.7802,-16.3172,6.09977,
14804,-17.0405,-20.5984,1.40103,
15500,-17.3333,-15.2545,4.48821,
15228,-16.9875,-16.952,3.80104,
12255,-5.88354,-71.7161,1.25601,
12683,-12.2228,-60.2922,1.07381,
12699,-12.0428,-58.3062,1.03922,
12786,-12.6182,-55.2713,0.989586,
12234,-4.09258,-55.8638,-0.977719,
12269,-4.99994,-58.3217,3.06772,
12000,0.856607,-62.1226,-1.08446,
12006,0.640001,-62.1492,-1.08488,
12013,0.423192,-62.1711,-1.08523,
12021,0.206437,-62.2522,-1.08662,
12058,-0.714792,-56.0991,4.90844,
12440,-6.98892,-49.1682,0.866861,
12318,-5.06032,-48.9677,2.57995,
12042,-0.316591,-54.9671,4.80908,
11956,2.2474,-69.205,6.05785,
11991,1.07407,-62.1553,-1.08509,
11353,10.7127,-48.5625,4.35081,
11367,10.5431,-48.5996,4.35081,
13157,-13.716,-42.0635,0.772269,
13060,-11.9984,-40.0434,3.65723,
13092,-12.0584,-39.1236,6.48421,
13177,-12.5466,-37.9595,3.49773,
13212,-12.4863,-36.8469,6.16195,
12882,-9.22119,-36.4953,-0.657048,
12659,-7.56383,-38.5176,4.81969,
12972,-8.78299,-31.9518,-0.578408,
13035,-9.63033,-32.9331,4.21302,
12808,-7.97243,-34.2054,5.56281,
12890,-8.32763,-32.623,4.13405,
12778,-7.03795,-31.1791,5.06253,
12498,-6.38078,-40.7468,2.16147,
12552,-6.98232,-40.8912,2.17404,
12384,-5.03225,-40.5167,2.1397,
12515,-6.30253,-39.2165,4.87697,
11976,0.956723,-39.4284,-0.688428,
12532,-5.62357,-34.2287,5.49398,
12461,-4.97766,-33.9134,5.4289,
14106,-14.2475,-23.9574,-0.486538,
14121,-14.3258,-23.9083,-0.486503,
14093,-14.2555,-24.0759,0.488388,
14109,-14.3516,-24.0559,0.488947,
13528,-11.4621,-27.0687,-0.513101,
13554,-11.0139,-25.5741,4.4102,
13642,-11.0035,-24.1784,3.26171,
13322,-10.0434,-27.3562,-0.508668,
13214,-9.87929,-29.1369,5.98034,
13039,-8.96293,-30.5914,6.19633,
13107,-8.87598,-28.4625,4.72213,
13410,-10.2699,-26.1386,0.490203,
11919,1.90503,-39.2318,-0.6856,
11928,1.76843,-39.2462,-0.68574,
11937,1.63018,-39.2222,-0.685216,
11944,1.49334,-39.2296,-0.685251,
11951,1.35895,-39.3085,-0.686543,
11960,1.22079,-39.283,-0.686019,
11968,1.08482,-39.329,-0.686752,
11911,2.04799,-39.3407,-0.687625,
11549,7.21491,-42.4319,2.25568,
11566,6.6783,-40.2532,6.46262,
11577,6.46585,-39.7893,4.9496,
11665,4.86499,-35.6541,-0.628112,
11589,5.92874,-37.3062,4.6381,
11355,8.30282,-37.7006,4.73999,
11247,8.25547,-33.4841,0.601968,
11234,8.33397,-33.3513,1.80161,
11328,7.10117,-31.2559,5.07661,
11320,10.4061,-45.5452,0.815481,
11849,1.85431,-24.044,3.8195,
11780,2.5211,-24.9062,5.77944,
11499,4.61531,-25.0975,3.13326,
11666,3.26606,-23.936,6.47306,
11276,6.95637,-29.0872,0.522036,
11302,6.68979,-28.657,-0.513659,
11192,7.48123,-28.4359,-0.51324,
11249,7.15522,-29.0651,1.56872,
11236,7.2643,-29.0922,2.62339,
11266,5.68583,-23.5024,2.96898,
11475,3.69825,-19.4607,-0.345767,
11518,3.42971,-19.1382,-0.339379,
11583,3.10617,-19.2419,-0.340217,
11778,1.97169,-19.4109,3.79252,
11701,2.5448,-20.2293,5.46315,
11756,2.23402,-20.6315,4.79101,
11557,3.719,-22.0583,5.16443,
11387,4.28567,-20.1798,4.01004,
11616,2.32355,-15.3456,2.45821,
11258,5.23541,-21.3954,5.08524,
11153,5.36515,-19.558,5.43416,
10694,6.28078,-15.6082,4.50811,
10643,7.56814,-18.0303,3.09709,
10676,11.0068,-26.9847,3.57833,
12212,-4.86954,-73.8996,14.3958,
12044,-0.429788,-70.3563,8.63883,
12437,-7.82104,-56.0041,10.9917,
12667,-9.72013,-49.2255,13.4446,
12697,-10.014,-48.8708,13.367,
12167,-2.83719,-55.4326,6.81518,
12907,-11.2245,-43.2773,8.69059,
12822,-10.7196,-45.2763,7.36931,
12741,-10.1119,-46.8484,12.8421,
12768,-10.2712,-46.0263,12.6361,
12784,-10.3464,-45.6134,12.5325,
13111,-12.0437,-38.5256,9.31882,
13140,-12.3092,-38.4539,9.32152,
13335,-12.8621,-34.7149,7.19617,
13363,-12.9791,-34.2938,7.12748,
12586,-5.99676,-33.4626,6.6081,
12971,-8.01227,-29.1679,6.98338,
13027,-8.60176,-29.7042,7.1395,
12813,-7.0125,-29.9449,8.2408,
12943,-8.18611,-30.6365,8.49703,
11579,6.71916,-41.4395,6.64909,
18077,-47.0345,-5.85012,2.48397,
18598,-40.3537,-0.105646,0.704379,
16812,-33.7318,-15.0607,1.93601,
18527,-37.6008,-0.748233,0.656455,
18543,-37.5492,-0.616091,0.655512,
18571,-37.6045,-0.360989,0.65642,
18585,-37.7515,-0.230614,0.658968,
18451,-36.2654,-1.34881,0.633453,
18467,-36.2759,-1.22241,0.633557,
18482,-36.2979,-1.09632,0.633871,
18498,-36.3235,-0.970197,0.634255,
16360,-24.1099,-13.9479,0.486189,
16318,-24.0637,-14.2483,1.46562,
18612,-29.9934,0.0261742,0.523537,
18626,-29.1193,0.13214,0.508284,
18640,-28.9107,0.232115,0.504654,
18654,-28.8477,0.327281,0.503572,
18667,-28.8104,0.427443,0.502943,
18681,-25.1579,0.461095,0.439207,
18678,-24.4828,0.410252,-0.427409,
18692,-24.4533,0.495144,-0.426921,
18695,-24.2625,0.52941,0.423605,
18707,-24.4454,0.580356,-0.426816,
18710,-24.2625,0.61415,0.42364,
18720,-24.3313,0.662635,-0.424861,
18722,-24.2922,0.699759,0.424198,
18732,-24.3388,0.74787,-0.425036,
16005,-16.2319,-11.2563,-1.03521,
17311,-22.3815,-7.04398,1.22969,
17850,-20.0082,-3.62167,2.49662,
17077,-18.9769,-7.08007,1.77205,
17093,-18.9977,-7.00484,2.48613,
17107,-18.9978,-6.93717,1.76944,
17395,-15.4809,-4.55629,3.72564,
18743,-16.3143,0.549754,-0.855484,
18758,-16.2465,0.604249,-0.852029,
18803,-16.0098,0.763405,-0.839992,
18745,-16.9016,0.575451,-0.29519,
18760,-16.8955,0.634295,-0.29512,
18774,-16.949,0.698522,-0.296098,
18805,-16.0311,0.770028,-0.280146,
18820,-16.0862,0.828966,-0.281158,
18836,-16.0632,0.884014,-0.280809,
18756,-15.0801,0.555599,-1.32024,
18770,-15.1098,0.612157,-1.32302,
18772,-15.861,0.648134,-0.831932,
18786,-15.0957,0.664371,-1.32198,
18788,-15.9185,0.70615,-0.835073,
18801,-15.1153,0.715462,-1.3239,
18816,-15.1167,0.768422,-1.32424,
18818,-15.8535,0.811424,-0.831932,
18832,-15.1218,0.821617,-1.32494,
18834,-15.7269,0.859997,-0.825443,
18847,-15.1487,0.876123,-1.32756,
18651,-15.6948,0.156143,-0.273968,
18664,-15.7642,0.209117,-0.27519,
18748,-25.8077,0.919264,0.450761,
18763,-25.7322,1.01102,0.449504,
18777,-25.6246,1.09639,0.447689,
18790,-24.2561,1.08449,-0.423814,
18793,-24.9037,1.14829,0.435158,
18823,-24.7394,1.31385,0.432436,
18839,-24.6887,1.3976,0.431633,
18853,-24.6817,1.48365,0.431598,
18912,-24.3802,1.76898,-0.426676,
18976,-24.2123,2.13534,0.424268,
18988,-24.1703,2.17841,-0.423605,
18991,-24.131,2.21308,0.422977,
19003,-24.1805,2.26444,-0.423919,
19006,-24.155,2.30034,0.423535,
19018,-24.2003,2.35154,-0.424408,
19021,-24.1568,2.38562,0.42371,
19032,-24.2178,2.43861,-0.424861,
19072,-24.2729,2.69691,-0.426292,
19075,-24.2309,2.73078,0.425629,
19086,-24.2912,2.78481,-0.426781,
19089,-24.251,2.81881,0.426153,
19102,-24.3091,2.87287,-0.42727,
19105,-24.2748,2.90748,0.426746,
19762,-30.3589,8.92358,0.552334,
20284,-26.7842,11.8971,0.511565,
18881,-22.0932,1.44807,-0.386466,
18884,-22.2944,1.49643,0.390026,
18897,-22.086,1.52504,-0.386431,
18900,-22.0916,1.56029,0.386571,
18915,-22.0401,1.634,0.385768,
18928,-22.7388,1.7297,-0.398054,
18931,-22.0403,1.71139,0.385873,
18943,-22.34,1.77781,-0.391178,
18958,-22.3715,1.85893,-0.391841,
18946,-21.9545,1.78184,0.384477,
18961,-21.974,1.86066,0.38493,
19117,-21.6608,2.63659,-0.380881,
19130,-21.4332,2.68484,-0.377042,
19133,-21.2683,2.69812,0.374215,
19145,-21.2234,2.73384,-0.373516,
19148,-21.0684,2.74752,0.370864,
19405,-20.8387,3.94128,4.89628,
19608,-21.0313,5.18913,3.43092,
20044,-22.0387,8.23553,5.43167,
20058,-22.0105,8.29951,5.43077,
20070,-22.0016,8.37961,4.57636,
18895,-18.7839,1.29044,-0.986742,
18910,-18.8072,1.35801,-0.988208,
18926,-18.8043,1.4238,-0.988312,
18941,-18.8092,1.49022,-0.988836,
19115,-18.8615,2.28918,-0.995744,
19247,-18.8879,2.89026,-1.0014,
18956,-16.6163,1.37487,-0.873801,
18972,-16.5338,1.42617,-0.869719,
18986,-16.6322,1.49316,-0.875162,
19001,-16.5493,1.54397,-0.87108,
19016,-16.4186,1.58961,-0.864485,
19043,-16.1693,1.67379,-0.851925,
19056,-16.2229,1.73659,-0.855065,
19070,-16.2165,1.79604,-0.855065,
19085,-16.2756,1.86012,-0.858519,
18866,-16.1285,1.00059,-0.282066,
19045,-16.99,1.76474,-0.298157,
19058,-16.9778,1.82339,-0.298052,
19100,-16.3027,1.9209,-0.860298,
18849,-15.7517,0.916513,-0.826908,
18862,-15.1694,0.93046,-1.32965,
18864,-15.7046,0.968786,-0.824605,
18877,-15.174,0.983921,-1.33035,
18879,-15.8545,1.0336,-0.832665,
18893,-15.1844,1.03783,-1.33157,
18908,-15.1767,1.09055,-1.33122,
18924,-15.1967,1.14531,-1.33331,
18939,-15.2065,1.19945,-1.33453,
18954,-15.2479,1.25628,-1.33854,
18970,-15.2514,1.31018,-1.33924,
18984,-15.2526,1.36395,-1.33976,
18999,-15.2716,1.41939,-1.34185,
19014,-15.2824,1.47422,-1.34324,
19029,-15.301,1.52994,-1.34534,
19041,-15.31,1.57943,-1.34656,
19054,-15.2984,1.63223,-1.34603,
19068,-15.3161,1.69091,-1.34812,
19083,-15.3279,1.74639,-1.34969,
19098,-15.3534,1.80361,-1.35248,
19113,-15.3648,1.85934,-1.35405,
19126,-15.3523,1.91223,-1.35353,
19128,-15.7042,1.96163,-0.82942,
19141,-15.3811,1.97036,-1.35667,
19143,-15.6973,2.01644,-0.82942,
19155,-15.4037,2.02794,-1.35928,
19157,-15.7674,2.08142,-0.833502,
19168,-15.4084,2.0833,-1.36033,
19169,-15.5859,2.11283,-0.824291,
19183,-15.461,2.13989,-1.36556,
19185,-15.5673,2.16014,-0.823663,
19199,-15.5008,2.20057,-1.36974,
