index,x,y,z
15482,-47.5808,-41.8155,5.54188,
14963,-33.2872,-37.0992,2.61219,
13920,-19.508,-35.6173,0.708847,
13651,-16.793,-36.1608,0.695932,
13726,-17.0189,-35.018,2.04047,
14801,-20.9553,-25.1513,-0.571427,
14170,-18.2072,-29.2511,0.60141,
13933,-16.1668,-29.383,-0.585389,
14852,-18.0889,-21.2018,0.486468,
14868,-18.1182,-21.0793,0.485177,
14899,-18.4071,-21.1228,0.489051,
15472,-17.3275,-15.3085,4.49432,
12058,-1.13242,-72.0861,-1.25842,
11986,0.984577,-71.4032,3.74244,
12203,-3.89148,-57.3774,-1.00383,
12319,-5.38427,-50.6328,-0.888781,
11923,3.07923,-74.0863,3.88605,
11915,3.18501,-70.9592,6.21438,
11566,8.09847,-50.2794,4.45558,
11350,10.3868,-47.5188,5.97233,
11204,12.9792,-50.7713,2.74638,
13059,-12.1295,-39.7235,5.09974,
12843,-10.9584,-44.0172,3.96855,
13177,-12.5926,-37.5263,3.46305,
13161,-12.5556,-37.8537,3.48919,
12866,-9.07264,-35.6975,-0.642912,
12633,-7.01905,-36.1099,4.51672,
12929,-9.00869,-33.3183,0.602457,
13024,-9.71769,-32.933,-0.599351,
12881,-8.99147,-34.8678,-0.628531,
13163,-10.4726,-31.5371,4.08019,
12575,-6.37429,-35.4268,4.41971,
12605,-6.62584,-35.4048,4.42264,
12590,-6.41836,-34.9709,4.3656,
12456,-4.96785,-33.6017,4.17061,
11960,0.999127,-38.1551,-0.666228,
11968,0.866524,-38.1844,-0.666682,
13372,-10.1077,-26.0592,5.4331,
11910,1.79422,-38.188,-0.66731,
11920,1.65752,-38.1162,-0.665949,
11945,1.26322,-38.0793,-0.665041,
11542,6.40977,-38.099,3.38007,
11429,6.53307,-33.2073,4.1555,
10731,15.4922,-40.2745,-0.753211,
11261,7.01173,-29.0718,0.522002,
11467,3.63028,-19.268,-0.342242,
11741,2.4156,-21.9505,5.91712,
11634,3.12366,-21.9206,3.50695,
11406,3.37957,-16.5963,2.68254,
12364,-7.36402,-61.4827,9.8075,
12376,-7.57859,-61.4566,9.8075,
12436,-8.06952,-56.913,15.4023,
12047,-0.603619,-55.7798,6.8493,
12344,-6.97735,-61.4301,16.566,
13061,-12.0089,-39.2793,6.50548,
12714,-10.0541,-47.0584,12.8938,
12565,-6.05383,-34.2282,6.75655,
18567,-40.2974,-0.196932,0.703402,
16754,-31.5303,-14.5624,0.606227,
18669,-31.1593,0.60917,0.543992,
19371,-33.4718,6.33062,1.78528,
19987,-31.2266,11.6441,0.581724,
20001,-31.2681,11.784,0.583259,
20015,-31.2735,11.9109,0.584132,
20029,-31.2784,12.038,0.585005,
20225,-31.1126,13.7482,0.593731,
18387,-23.9096,-1.10664,1.25439,
18712,-24.2596,0.732723,1.27197,
15822,-17.2605,-12.9313,5.77891,
17793,-19.5687,-3.78252,3.87419,
17942,-15.4003,-2.32633,1.91237,
19094,-24.2148,2.93889,1.27836,
19761,-26.1292,8.01842,0.477079,
19774,-26.0767,8.10701,0.47666,
19788,-26.0311,8.19258,0.476346,
19747,-25.646,7.77231,0.467759,
19878,-25.4576,8.64663,-0.469295,
19892,-25.4862,8.76068,-0.470412,
19905,-25.4933,8.86273,-0.47111,
19721,-30.3579,8.96937,0.552543,
19917,-25.509,8.96313,-0.471948,
19929,-25.5341,9.0722,-0.472995,
19942,-25.5606,9.18223,-0.474077,
19956,-25.5867,9.29256,-0.475159,
19970,-25.6066,9.40112,-0.476137,
19984,-25.6112,9.50436,-0.476835,
19998,-25.634,9.61477,-0.477882,
20012,-25.662,9.72758,-0.479034,
20026,-25.6914,9.84142,-0.48022,
20040,-25.7016,9.94836,-0.481058,
20054,-25.7245,10.0606,-0.48214,
20068,-25.745,10.1724,-0.483187,
20136,-25.8295,10.7253,-0.488179,
20150,-25.8638,10.8456,-0.48954,
19932,-26.4294,9.43709,0.489854,
19945,-26.4095,9.53404,0.490098,
19959,-26.4117,9.63919,0.490762,
19973,-26.4173,9.74586,0.491495,
20222,-26.0019,11.4411,-0.495858,
20237,-26.0221,11.5586,-0.49701,
20252,-26.0381,11.6747,-0.498092,
20266,-26.0501,11.7894,-0.499104,
20280,-26.0802,11.9019,-0.500395,
20165,-25.8921,10.9639,-0.490797,
20179,-25.9217,11.0833,-0.492088,
20193,-25.9269,11.1927,-0.492926,
20208,-25.9702,11.3191,-0.494496,
20240,-26.7691,11.9408,0.511635,
19801,-19.5832,6.2385,0.358752,
19813,-19.4414,6.26816,0.356553,
19827,-19.4091,6.32888,0.356343,
19841,-19.3375,6.3803,0.355436,
19854,-19.2366,6.41781,0.35397,
19867,-19.2235,6.48811,0.354144,
19881,-19.2148,6.5637,0.354423,
19895,-19.2182,6.63987,0.354912,
19968,-18.757,6.87893,-1.04703,
19982,-18.7347,6.94506,-1.04714,
19996,-18.7459,7.02373,-1.04913,
20010,-18.725,7.09053,-1.04934,
20024,-18.7057,7.15799,-1.04965,
20038,-18.6955,7.22901,-1.05049,
20052,-18.6795,7.29786,-1.05101,
20066,-18.6762,7.37182,-1.05227,
20080,-18.6628,7.43814,-1.05289,
20094,-18.6589,7.51219,-1.05415,
20108,-18.6437,7.5818,-1.05478,
20121,-18.6393,7.65593,-1.05603,
20135,-18.6291,7.72784,-1.05698,
20149,-18.6407,7.80902,-1.05918,
20163,-18.6022,7.86938,-1.05855,
20081,-18.9003,7.54044,-0.355191,
20084,-18.7677,7.52176,0.352923,
20095,-18.8924,7.61384,-0.35554,
20098,-18.7061,7.57297,0.352259,
20109,-18.8601,7.67748,-0.355436,
20112,-18.7259,7.65714,0.353132,
20122,-18.9923,7.80866,-0.358438,
20125,-18.7489,7.74307,0.354074,
20139,-18.803,7.84234,0.35561,
20178,-18.5967,7.94368,-1.0598,
20192,-18.5982,8.0212,-1.06148,
20206,-18.5847,8.09245,-1.06232,
20220,-18.5801,8.16772,-1.06368,
20235,-18.5625,8.23739,-1.0643,
20250,-18.5555,8.31193,-1.06556,
20264,-17.0541,7.71096,-0.98088,
20278,-17.008,7.75456,-0.979624,
20293,-16.9354,7.79301,-0.977008,
20308,-16.9158,7.85923,-0.977531,
20323,-16.91,7.92841,-0.978787,
20338,-16.8768,7.98482,-0.978473,
20353,-16.8758,8.05659,-0.980043,
20368,-16.885,8.12984,-0.982137,
20383,-16.9553,8.23673,-0.987894,
20409,-22.1226,10.924,3.02943,
20398,-18.4153,9.02952,-1.07488,
20414,-18.3997,9.10171,-1.07582,
20430,-18.3998,9.17783,-1.0776,
20446,-18.3766,9.24649,-1.07812,
20462,-18.3531,9.3151,-1.07864,
