index,x,y,z
19531,-18.9119,4.36616,-1.0172,
19544,-18.9082,4.43488,-1.01783,
19557,-18.9023,4.50317,-1.01835,
19570,-18.9001,4.57241,-1.01909,
19583,-18.9034,4.64312,-1.02013,
19596,-18.9123,4.71536,-1.02149,
19608,-18.9054,4.7838,-1.02202,
19620,-18.906,4.85423,-1.02296,
19631,-18.9025,4.92372,-1.02369,
19055,-16.9647,1.82498,0.894212,
19449,-15.4819,3.23152,-1.38368,
19462,-15.47,3.28825,-1.38368,
19476,-15.4623,3.34307,-1.38403,
19490,-15.4595,3.39334,-1.38473,
19503,-15.4476,3.44728,-1.38473,
19516,-15.4354,3.50118,-1.38473,
19529,-15.427,3.55593,-1.38508,
19542,-15.4164,3.61022,-1.38525,
19555,-15.4154,3.66677,-1.3863,
19568,-15.3986,3.71963,-1.38595,
19581,-15.3933,3.77525,-1.38665,
19594,-15.3935,3.83233,-1.38787,
19606,-15.3974,3.89043,-1.38944,
19618,-15.405,3.9496,-1.39135,
19629,-15.395,4.00435,-1.3917,
19640,-15.3751,4.05654,-1.39118,
19651,-15.3801,4.11534,-1.39292,
19663,-15.3779,4.16945,-1.39397,
19675,-15.3959,4.23208,-1.39693,
19688,-15.3995,4.29383,-1.39868,
19701,-15.3691,4.34322,-1.39728,
19713,-15.3711,4.40178,-1.39885,
19726,-15.3633,4.45763,-1.39955,
19739,-15.3637,4.51304,-1.40094,
19751,-15.3498,4.56721,-1.40112,
19763,-15.3433,4.62364,-1.40199,
19777,-15.3385,4.68066,-1.40303,
19791,-15.3354,4.73829,-1.40425,
19805,-15.3377,4.79774,-1.406,
19819,-15.3095,4.84764,-1.40495,
19833,-15.3001,4.90348,-1.40565,
19642,-18.9122,4.99681,-1.02516,
19653,-18.8985,5.06383,-1.02537,
19665,-18.8816,5.12648,-1.02537,
19677,-18.8848,5.19818,-1.02652,
19690,-18.8848,5.27274,-1.02756,
19703,-18.8913,5.34569,-1.02892,
19715,-18.8821,5.41436,-1.02945,
19728,-18.8727,5.48302,-1.02997,
19741,-18.8621,5.54783,-1.03039,
19753,-18.8617,5.61934,-1.03144,
19765,-18.8535,5.68861,-1.03207,
19779,-18.8354,5.75497,-1.03217,
19793,-18.8209,5.82245,-1.03248,
19807,-18.8024,5.88871,-1.03259,
19847,-15.2772,4.95502,-1.40512,
19861,-15.2617,5.00893,-1.4053,
19875,-15.2469,5.06014,-1.40547,
19888,-15.2027,5.10446,-1.40303,
19902,-15.1668,5.14844,-1.40129,
19916,-15.1393,5.19811,-1.40042,
19929,-15.107,5.24899,-1.3992,
19943,-15.0717,5.29575,-1.39763,
19956,-15.0343,5.34165,-1.39589,
20582,-22.3901,11.9451,1.32996,
20827,-22.9755,13.9803,5.22778,
21521,-17.9864,15.4598,-1.24298,
22175,-32.994,38.9603,2.67562,
20896,-26.8718,16.968,2.78044,
21335,-24.0276,18.9555,4.84728,
21476,-23.7138,19.9477,6.02346,
21748,-24.9889,23.9719,4.25178,
21750,-24.9408,23.9341,5.47489,
21860,-26.0954,26.5178,-0.649404,
21873,-25.9523,26.5572,-0.648147,
21888,-25.7783,26.5732,-0.646228,
21903,-25.6215,26.5968,-0.644622,
21917,-25.4585,26.6036,-0.642737,
21931,-25.3793,26.7068,-0.643086,
21945,-25.4047,26.9306,-0.646228,
21893,-26.047,26.9536,1.96438,
21880,-25,25.6991,3.13674,
21895,-25.0126,25.8922,3.14963,
22032,-25.3471,27.954,4.63323,
22243,-25.9859,31.8052,3.59326,
21847,-17.6986,17.8537,-1.31751,
22354,-21.2241,27.9821,-0.613033,
22364,-21.0385,27.9394,-0.610485,
22374,-20.9265,27.9934,-0.610066,
22255,-28.0387,34.5632,3.89377,
22480,-24.1975,34.9457,0.741937,
22511,-24.624,36.6444,0.770628,
22558,-25.4492,39.7785,-0.824277,
22642,-28.2354,47.915,0.970773,
22618,-25.9701,42.8649,-0.874819,
22671,-24.1954,42.2304,-0.849548,
22545,-22.0594,33.9555,-0.706788,
15008,-10.9946,-12.1211,4.38491,
15966,-13.177,-9.30572,3.72429,
15978,-12.9921,-9.1141,2.51359,
15299,-10.0156,-9.66854,3.7301,
17356,-14.384,-4.2662,1.84218,
17651,-14.1643,-3.18428,3.89005,
18261,-13.5273,-1.067,3.63589,
17285,-7.90353,-2.49046,-0.434284,
17301,-7.79585,-2.42664,-0.427899,
17317,-7.46255,-2.29435,-0.409162,
17333,-7.36349,-2.2358,-0.403301,
17347,-7.31424,-2.19159,-0.400161,
17361,-7.26247,-2.14849,-0.396916,
17374,-7.23159,-2.11192,-0.394822,
17388,-7.20629,-2.07726,-0.393043,
17463,-6.85382,-1.84674,-0.372004,
17476,-6.77722,-1.80075,-0.367503,
17491,-6.75642,-1.76999,-0.366038,
17507,-6.74708,-1.7424,-0.3652,
17523,-6.74672,-1.71972,-0.364886,
17539,-6.74687,-1.6947,-0.364572,
17555,-6.73946,-1.6666,-0.36384,
17571,-6.72389,-1.63787,-0.362688,
17586,-6.7218,-1.61252,-0.362269,
17602,-6.73322,-1.59043,-0.362584,
17616,-6.73484,-1.56601,-0.362374,
17632,-6.73637,-1.5416,-0.362165,
17648,-6.72807,-1.515,-0.361432,
17663,-6.73137,-1.49108,-0.361327,
17678,-6.73849,-1.468,-0.361432,
17694,-6.74162,-1.44405,-0.361327,
17709,-6.74662,-1.42051,-0.361327,
17724,-6.7398,-1.39452,-0.360699,
17740,-6.74439,-1.37216,-0.360699,
17754,-6.76284,-1.35135,-0.361432,
17780,-6.78388,-1.30637,-0.36206,
17795,-6.769,-1.27779,-0.361013,
17809,-6.75967,-1.25161,-0.360281,
17825,-6.72862,-1.22159,-0.358397,
17840,-6.68959,-1.19039,-0.356094,
17899,-6.56345,-1.07481,-0.348557,
17914,-6.87964,-1.09948,-0.121608,
17929,-6.88146,-1.07515,-0.121573,
19489,-10.9845,2.40907,-1.38078,
19501,-10.9741,2.44696,-1.38054,
19514,-10.9713,2.48657,-1.38127,
19527,-10.9703,2.52663,-1.38224,
19540,-10.9672,2.56627,-1.38297,
19554,-10.9446,2.60132,-1.38127,
19567,-10.9335,2.63904,-1.38102,
